country,city,operator
"France","Macon","Getaround Macon"
"France","Maisons-Alfort","Getaround Maisons-Alfort"
"France","Marseille","Citiz Provence"
"France","Marseille","Getaround Marseille"
"France","Meaux","Getaround Meaux"
"France","Metz","Getaround Metz"
"France","Montauban","Getaround Montauban"
"France","Montpellier","Getaround Montpellier"
"France","Montreuil","Getaround Montreuil"
"France","Mulhouse","Getaround Mulhouse"
"France","Nancy","Getaround Nancy"
"France","Nanterre","Getaround Nanterre"
"France","Nantes","Citiz Nantes"
"France","Nantes","Getaround Nantes"
"France","Narbonne","Getaround Narbonne"
"France","Neuilly-Sur-Seine","Getaround Neuilly-Sur-Seine"
"France","Nice","Getaround Nice"
"France","Niort","Getaround Niort"
"France","Noisy-Le-Grand","Getaround Noisy-Le-Grand"
"France","Orange","Getaround Orange"
"France","Pantin","Getaround Pantin"
"France","Paris","Getaround Paris"
"France","Pau","Getaround Pau"
"France","Perpignan","Getaround Perpignan"
"France","Pessac","Getaround Pessac"
"France","Poitiers","Citiz Grand Poitiers"
"France","Poitiers","Getaround Poitiers"
"France","Quimper","Getaround Quimper"
"France","Reims","Getaround Reims"
"France","Rennes","Citiz Rennes Métropole"
"France","Rennes","Getaround Rennes"
"France","Roubaix","Getaround Roubaix"
"France","Rouen","Getaround Rouen"
"France","Rueil-Malmaison","Getaround Rueil-Malmaison"
"France","Saint-Brieuc","Getaround Saint-Brieuc"
"France","Saint-Denis","Getaround Saint-Denis"
"France","Saint-Laurent","Getaround Saint-Laurent"
"France","Saint-Louis","Getaround Saint-Louis"
"France","Saint-Malo","Getaround Saint-Malo"
"France","Saint-Nazaire","Getaround Saint-Nazaire"
"France","Saint-Paul","Getaround Saint-Paul"
"France","Saint-Quentin","Getaround Saint-Quentin"
"France","Saint-Quentin-En-Yvelines","Getaround Saint-Quentin-En-Yvelines"
"France","Sarcelles","Getaround Sarcelles"
"France","Sartrouville","Getaround Sartrouville"
"France","Strasbourg","Citiz Grand Est"
"France","Strasbourg","Getaround Strasbourg"
"France","Tarbes","Getaround Tarbes"
"France","Toulon","Getaround Toulon"
"France","Toulouse","Citiz Occitanie"
"France","Toulouse","Getaround Toulouse"
"France","Tourcoing","Getaround Tourcoing"
"France","Tours","Getaround Tours"
"France","Troyes","Getaround Troyes"
"France","Valence","Getaround Valence"
"France","Vannes","Getaround Vannes"
"France","Versailles","Getaround Versailles"
"France","Villeurbanne","Getaround Villeurbanne"
"France","Vitry-Sur-Seine","Getaround Vitry-Sur-Seine"
"Germany","Berlin","Getaround Berlin"
"Germany","Biberach","TeilAuto Biberach"
"Germany","Bruchsal","zeo Carsharing"
"Germany","Constance","Car-ship"
"Germany","Donaueschingen","Ford Carsharing (Autohaus Albert)"
"Germany","Eislingen","Ford Carsharing (Autohaus Kauderer)"
"Germany","Essen","Getaround Essen"
"Germany","Freiburg im Breisgau","Die Grüne Flotte"
"Germany","Freiburg im Breisgau","franke"
"Germany","Germany","Einfach Unterwegs"
"Germany","Germany","Flinkster"
"Germany","Germany","Ford Carsharing (Autohaus Baur)"
"Germany","Germany","Mikar"
"Germany","Germany","Stadtwerk Tauberfranken"
"Germany","Halle (Saale)","OberSchwabenMobil CarSharing"
"Germany","Hamburg","Getaround Hamburg"
"Germany","Karlsruhe","Stadtmobil Karlsruhe"
"Germany","Leverkusen","Getaround Leverkusen"
"Germany","Neckar-Alb","TeilAuto Neckar-Alb"
"Germany","Norderstedt","Getaround Norderstedt"
"Germany","Pulheim","Getaround Pulheim"
"Germany","Radolfzell","SEEFAHRER E-Carsharing"
"Germany","Renningen","CarSharing Renningen"
"Germany","Rhein-Neckar","Stadtmobil Rhein-Neckar"
"Germany","Schwäbisch Hall","TeilAuto Schwäbisch Hall"
"Germany","Sinsheim","Ford Carsharing (Autohaus Bölz)"
"Germany","South Baden","Naturenergie sharing"
"Germany","Stuttgart","Stadtmobil Stuttgart"
"Germany","Ulm","Conficars"
"Germany","Velbert","Getaround Velbert"
"Germany","Weikersheim","HERTLEIN Carsharing"
"Germany","Wertheim","Carsharing in Wertheim"
"Norway","Alesund","Getaround Alesund"
"Norway","Asker","Getaround Asker"
"Norway","Baerum","Getaround Baerum"
"Norway","Bodo","Getaround Bodo"
"Norway","Drammen","Getaround Drammen"
"Norway","Evenes","Getaround Evenes"
"Norway","Fredrikstad","Getaround Fredrikstad"
"Norway","Gardermoen","Getaround Gardermoen"
"Norway","Harstad","Getaround Harstad"
"Norway","Kristiansand","Getaround Kristiansand"
"Norway","Leknes","Getaround Leknes"
"Norway","Lillestrom","Getaround Lillestrom"
"Norway","Lorenskog","Getaround Lorenskog"
"Norway","Molde","Getaround Molde"
"Norway","Nesodden","Getaround Nesodden"
"Norway","Oslo","Getaround Oslo"
"Norway","Porsgrunn","Getaround Porsgrunn"
"Norway","Sandefjord","Getaround Sandefjord"
"Norway","Sandvika","Getaround Sandvika"
"Norway","Ski","Getaround Ski"
"Norway","Skien","Getaround Skien"
"Norway","Stavanger","Getaround Stavanger"
"Norway","Strommen","Getaround Strommen"
"Norway","Tonsberg","Getaround Tonsberg"
"Norway","Tromso","Getaround Tromso"
"Norway","Trondheim","Getaround Trondheim"
"Spain","Alcobendas","Getaround Alcobendas"
"Spain","Alicante","Getaround Alicante"
"Spain","Badalona","Getaround Badalona"
"Spain","Barcelona","Getaround Barcelona"
"Spain","Benidorm","Getaround Benidorm"
"Spain","Candelaria","Getaround Candelaria"
"Spain","Castelldefels","Getaround Castelldefels"
"Spain","Coslada","Getaround Coslada"
"Spain","Fuenlabrada","Getaround Fuenlabrada"
"Spain","Getafe","Getaround Getafe"
"Spain","Granollers","Getaround Granollers"
"Spain","Madrid","Getaround Madrid"
"Spain","Majadahonda","Getaround Majadahonda"
"Spain","Mao","Getaround Mao"
"Spain","Parla","Getaround Parla"
"Spain","Paterna","Getaround Paterna"
"Spain","Sabadell","Getaround Sabadell"
"Spain","Sevilla","Getaround Sevilla"
"Spain","Torremolinos","Getaround Torremolinos"
"Spain","Torrent","Getaround Torrent"
"Spain","Valencia","Getaround Valencia"
"Spain","Viladecans","Getaround Viladecans"
"Switzerland","Switzerland","2EM Car Sharing"
"Switzerland","Switzerland","Mobility"
"Switzerland","Switzerland","MyBuxi"
"Switzerland","Switzerland","QuickRent"
"Switzerland","Switzerland","Share Birrer"
"Switzerland","Switzerland","carvelo eCargo-Bike Sharing"
"Switzerland","Switzerland","edrive carsharing"
"Ukraine","Kyiv","3electra"
"United States","Twin Cities, MN","Evie Carshare"
